Poids,Volume,Conductivite,Opacite,Rigidite,Prix_Revente,Source,Rapport_Collecte,Categorie
30.958270294820675,64.4334799820285,0.0,1.0,9.0,9.287481088446205,0,"Déchet métallique détecté au Centre de Tri. Poids 31.0 kg, volume 64.4 L. Conductivité élevée (0.843), rigidité importante. Poids anormalement élevé pour cette catégorie.",0
32.46513550706945,88.35518680056977,0.0,1.0,10.0,9.739540652120834,0,"Déchet métallique détecté au Centre de Tri. Poids 32.5 kg, volume 88.4 L. Conductivité élevée (0.920), rigidité importante. Conditionnement non conforme au protocole.",0
34.95892078317942,80.78504541395755,0.0,1.0,8.0,10.487676234953826,0,"Déchet métallique détecté au Centre de Tri. Poids 35.0 kg, volume 80.8 L. Conductivité élevée (0.954), rigidité importante. Légère contamination observée.",0
39.49681952376868,74.49833100968368,0.0,1.0,10.0,11.849045857130603,0,"Déchet métallique détecté au Centre de Tri. Poids 39.5 kg, volume 74.5 L. Conductivité élevée (0.874), rigidité importante. Lot conforme aux standards de tri.",0
44.12040975904378,89.50412870423104,0.0,1.0,9.0,13.236122927713136,0,"Déchet métallique détecté au Centre de Tri. Poids 44.1 kg, volume 89.5 L. Conductivité élevée (0.972), rigidité importante. Odeur inhabituelle signalée par l'agent.",0
45.14960645540607,81.4990650909041,0.0,1.0,9.0,13.544881936621822,0,"Déchet métallique détecté au Centre de Tri. Poids 45.1 kg, volume 81.5 L. Conductivité élevée (0.921), rigidité importante. État dégradé, recyclage partiel possible.",0
52.85549038546758,133.47723479961132,0.0,1.0,8.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 52.9 kg, volume 133.5 L. Conductivité élevée (0.920), rigidité importante. Poids anormalement élevé pour cette catégorie.",0
55.92777798589598,114.96600449089188,0.0,1.0,7.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 55.9 kg, volume 115.0 L. Conductivité élevée (0.975), rigidité importante. Conditionnement non conforme au protocole.",0
60.07865549577275,121.09692286684034,0.0,1.0,7.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 60.1 kg, volume 121.1 L. Conductivité élevée (0.954), rigidité importante. Conditionnement non conforme au protocole.",0
60.07865549577275,121.09692286684034,0.0,1.0,7.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 60.1 kg, volume 121.1 L. Conductivité élevée (0.954), rigidité importante. Matériau mélangé à d'autres déchets.",0
63.81387419611495,120.1859835631708,0.0,1.0,8.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 63.8 kg, volume 120.2 L. Conductivité élevée (0.900), rigidité importante. Odeur inhabituelle signalée par l'agent.",0
65.02587043626177,136.3748600161791,0.0,1.0,8.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 65.0 kg, volume 136.4 L. Conductivité élevée (0.850), rigidité importante. Aucune anomalie signalée.",0
67.22675561791925,120.536282832943,0.0,1.0,8.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 67.2 kg, volume 120.5 L. Conductivité élevée (0.872), rigidité importante. Acheminement prioritaire demandé.",0
67.79998613696716,116.0432282665086,0.0,1.0,8.0,14.741277749478527,0,"Déchet métallique détecté au Centre de Tri. Poids 67.8 kg, volume 116.0 L. Conductivité élevée (0.844), rigidité importante. Aucune anomalie signalée.",0
